Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Lampung Barat,54101,-,-,-,107,511,-,10,-,-,-,-,1608,35,-,-,-,-,-,-,-,-
Tanggamus,41512,-,-,-,595,13769,-,123,-,-,-,-,13682,30,-,-,-,-,-,-,-,-
Lampung Selatan,715,-,-,-,7625,22224,-,38,-,-,-,-,11400,7150,-,-,-,-,-,-,-,-
Lampung Timur,525,-,-,-,15358,17861,-,300,-,-,-,-,10978,7512,-,-,-,-,-,-,-,-
Lampung Tengah,523,-,-,-,11540,7001,10183,23,-,-,-,-,5258,19179,-,-,-,-,-,-,-,-
Lampung Utara,25684,-,-,-,35349,818,3922,7,-,-,-,-,864,8025,-,-,-,-,-,-,-,-
Way Kanan,21956,-,-,-,30986,4090,14455,38,-,-,-,-,1429,13772,-,-,-,-,-,-,-,-
Tulang Bawang,82,-,-,-,32427,703,-,15,-,-,-,-,206,18922,-,-,-,-,-,-,-,-
Pesawaran,3452,-,-,-,1214,11246,-,85,-,-,-,-,27415,792,-,-,-,-,-,-,-,-
Pringsewu,1379,-,-,-,963,3490,-,106,-,-,-,-,4589,1149,-,-,-,-,-,-,-,-
Mesuji,82,-,-,-,27513,1248,-,33,-,-,-,-,167,21831,-,-,-,-,-,-,-,-
Tulang Bawang Barat,8,-,-,-,33179,310,253,10,-,-,-,-,17,4019,-,-,-,-,-,-,-,-
Pesisir Barat,6719,-,-,-,689,7280,-,14,-,-,-,-,1148,7129,-,-,-,-,-,-,-,-
Bandar Lampung,178,-,-,-,87,389,-,7,-,-,-,-,529,63,-,-,-,-,-,-,-,-
Metro,2,-,-,-,5,65,-,12,-,-,-,-,66,1,-,-,-,-,-,-,-,-
Provinsi Lampung,156918,-,-,-,197637,91005,28813,821,-,-,-,-,79356,109609,-,-,-,-,-,-,-,-
