Jenis Tanaman,Produksi Tanaman Perkebunan Rakyat (ribu ton) (Ribu Ton)
Karet/Rubber,192.6
Kelapa/Coconut,78.6
Kelapa sawit/Palm oil,203.1
Kopi/Coffee,113.7
Kakao/Cocoa,48.2
Teh/Tea,
Jambu mete/Cashew nut,
Pala/Nutmeg,0.6
Cengkeh/Clove,2.1
Gula tebu/Sugar cane,197.8
Tembakau/Tobacco,0.4
Sagu/Sago,
