Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
Lampung Barat,53611,-,7691,630,124,523,-,25,-,-,-,-,1218,37,-,-,-,-,-,-,-,-
Tanggamus,43276,-,7371,1989,1646,13797,-,119,-,-,-,-,17600,30,-,-,-,-,-,-,-,-
Lampung Selatan,843,-,90,1380,16576,28275,-,25,-,-,-,-,14578,13765,-,-,-,-,-,-,-,-
Lampung Timur,619,-,4776,80,15476,18107,-,250,-,-,-,-,10990,7515,-,-,-,-,-,-,-,-
Lampung Tengah,522,-,139,5,11469,6912,-,52,-,-,-,-,5210,33810,-,-,-,-,-,-,-,-
Lampung Utara,25670,-,11762,217,37143,852,-,70,-,-,-,-,843,14706,-,-,-,-,-,-,-,-
Way Kanan,23163,-,10088,484,51494,5105,-,11,-,-,-,-,1554,24775,-,-,-,-,-,-,-,-
Tulang Bawang,79,-,-,-,32777,703,-,16,-,-,-,-,204,44793,-,-,-,-,-,-,-,-
Pesawaran,3749,-,176,1066,7729,2080,-,85,-,-,-,-,27415,2065,-,-,-,-,-,-,-,-
Pringsewu,2482,-,354,241,1097,4043,-,145,-,-,-,-,5060,1313,-,-,-,-,-,-,-,-
Mesuji,83,-,-,-,27853,1271,-,9,-,-,-,-,167,67611,-,-,-,-,-,-,-,-
Tulang Bawang Barat,96,-,-,-,40192,314,-,5,-,-,-,-,64,3541,-,-,-,-,-,-,-,-
Pesisir Barat,6935,-,3595,2287,623,6925,-,5,-,-,-,-,1330,20282,-,-,-,-,-,-,-,-
Bandar Lampung,191,-,12,50,90,405,-,15,-,-,-,-,555,64,-,-,-,-,-,-,-,-
Metro,1,-,-,-,6,72,-,15,-,-,-,-,81,2,-,-,-,-,-,-,-,-
Provinsi Lampung,161320,-,46054,8429,244295,89384,-,847,-,-,-,-,86869,237309,-,-,-,-,-,-,-,-
