Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Lampung Barat,57815,-,-,-,41,631,-,4,-,-,-,-,1875,17,-,-,-,-,-,-,-,-
Tanggamus,34020,-,-,-,278,16195,-,124,-,-,-,-,6664,41,-,-,-,-,-,-,-,-
Lampung Selatan,425,-,-,-,7567,21814,-,25,-,-,-,-,9706,11640,-,-,-,-,-,-,-,-
Lampung Timur,240,-,-,-,7094,11274,-,300,-,-,-,-,3233,7920,-,-,-,-,-,-,-,-
Lampung Tengah,302,-,-,-,4918,6258,65246,37,-,-,-,-,3016,43503,-,-,-,-,-,-,-,-
Lampung Utara,9821,-,-,-,18992,417,16911,6,-,-,-,-,265,4663,-,-,-,-,-,-,-,-
Way Kanan,8702,-,-,-,52562,2925,97850,22,-,-,-,-,622,26664,-,-,-,-,-,-,-,-
Tulang Bawang,14,-,-,-,30355,648,-,15,-,-,-,-,125,46612,-,-,-,-,-,-,-,-
Pesawaran,1359,-,-,-,1087,8350,-,84,-,-,-,-,29426,681,-,-,-,-,-,-,-,-
Pringsewu,707,-,-,-,463,3395,-,66,-,-,-,-,2631,834,-,-,-,-,-,-,-,-
Mesuji,44,-,-,-,45031,1815,-,30,-,-,-,-,104,41356,-,-,-,-,-,-,-,-
Tulang Bawang Barat,7,-,-,-,22493,262,1164,9,-,-,-,-,5,4096,-,-,-,-,-,-,-,-
Pesisir Barat,3415,-,-,-,146,7891,-,8,-,-,-,-,635,15169,-,-,-,-,-,-,-,-
Bandar Lampung,220,-,-,-,94,528,-,10,-,-,-,-,515,150,-,-,-,-,-,-,-,-
Metro,1,-,-,-,1,57,-,11,-,-,-,-,30,-,-,-,-,-,-,-,-,-
Provinsi Lampung,117092,-,-,-,191122,82460,181171,751,-,-,-,-,58852,203346,-,-,-,-,-,-,-,-
