Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Lampung Barat,54563,-,-,-,37,459,-,7,-,-,-,-,1094,23,-,-,-,-,-,-,-,-
Tanggamus,36716,-,-,-,237,16253,-,58,-,-,-,-,7216,20,-,-,-,-,-,-,-,-
Lampung Selatan,424,-,-,-,6373,20836,-,12,-,-,-,-,9062,9977,-,-,-,-,-,-,-,-
Lampung Timur,240,-,-,-,6403,11274,-,300,-,-,-,-,3235,6923,-,-,-,-,-,-,-,-
Lampung Tengah,306,-,-,-,4964,6267,69329,19,-,-,-,-,3037,43149,-,-,-,-,-,-,-,-
Lampung Utara,10021,-,-,-,19670,430,14099,7,-,-,-,-,275,5672,-,-,-,-,-,-,-,-
Way Kanan,8508,-,-,-,52625,2897,104031,24,-,-,-,-,554,27681,-,-,-,-,-,-,-,-
Tulang Bawang,21,-,-,-,34100,637,-,2,-,-,-,-,139,47140,-,-,-,-,-,-,-,-
Pesawaran,1361,-,-,-,1109,8122,-,81,-,-,-,-,28467,643,-,-,-,-,-,-,-,-
Pringsewu,696,-,-,-,487,3312,-,73,-,-,-,-,2654,818,-,-,-,-,-,-,-,-
Mesuji,17,-,-,-,45413,1906,-,4,-,-,-,-,38,37151,-,-,-,-,-,-,-,-
Tulang Bawang Barat,5,-,-,-,24943,307,2018,3,-,-,-,-,7,4027,-,-,-,-,-,-,-,-
Pesisir Barat,3372,-,-,-,303,7868,-,7,-,-,-,-,607,15451,-,-,-,-,-,-,-,-
Bandar Lampung,30,-,-,-,51,383,-,7,-,-,-,-,177,97,-,-,-,-,-,-,-,-
Metro,1,-,-,-,1,47,-,1,-,-,-,-,23,-,-,-,-,-,-,-,-,-
Provinsi Lampung,116281,-,-,-,196717,80999,189477,605,-,-,-,-,56586,198771,-,-,-,-,-,-,-,-
