Jenis Tanaman,Produksi Tanaman Perkebunan Rakyat (ribu ton) (Ribu Ton)
Karet/Rubber,196.7
Kelapa/Coconut,81
Kelapa sawit/Palm oil,198.8
Kopi/Coffee,116.3
Kakao/Cocoa,56.6
Teh/Tea,
Jambu mete/Cashew nut,
Pala/Nutmeg,0.7
Cengkeh/Clove,2.2
Gula tebu/Sugar cane,189.5
Tembakau/Tobacco,0.6
Sagu/Sago,
