Jenis Tanaman,Produksi Tanaman Perkebunan Rakyat (ribu ton) (Ribu Ton)
Karet/Rubber,175
Kelapa/Coconut,81.4
Kelapa sawit/Palm oil,209.3
Kopi/Coffee,105.8
Kakao/Cocoa,45.6
Teh/Tea,
Jambu mete/Cashew nut,
Pala/Nutmeg,0.6
Cengkeh/Clove,1.9
Gula tebu/Sugar cane,175.8
Tembakau/Tobacco,0.4
Sagu/Sago,
