Jenis Tanaman,Produksi Tanaman Perkebunan Rakyat (ribu ton) (Ribu Ton)
Karet/Rubber,192.6
Kelapa/Coconut,81.5
Kelapa sawit/Palm oil,197.6
Kopi/Coffee,117.3
Kakao/Cocoa,57.5
Teh/Tea,
Jambu mete/Cashew nut,
Pala/Nutmeg,0.7
Cengkeh/Clove,2.2
Gula tebu/Sugar cane,148.5
Tembakau/Tobacco,0.9
Sagu/Sago,
