Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Lampung Barat,53977,-,7725,657,128,513,-,14,-,-,-,-,1187,30,-,-,-,-,-,-,-,-
Tanggamus,41416,-,7966,1929,610,13909,-,120,-,-,-,-,13843,30,-,-,-,-,-,-,-,-
Lampung Selatan,835,-,90,1362,9028,27560,-,27,-,-,-,-,14240,8667,-,-,-,-,-,-,-,-
Lampung Timur,512,-,5094,80,15418,17857,-,344,-,-,-,-,10841,7515,-,-,-,-,-,-,-,-
Lampung Tengah,525,-,149,5,11477,6922,5031,21,-,-,-,-,5234,19149,-,-,-,-,-,-,-,-
Lampung Utara,25675,-,11714,216,35403,830,3117,13,-,-,-,-,865,8026,-,-,-,-,-,-,-,-
Way Kanan,21957,-,9463,438,30702,4370,4000,34,-,-,-,-,1428,13492,-,-,-,-,-,-,-,-
Tulang Bawang,82,-,-,-,32427,703,-,8,-,-,-,-,206,18922,-,-,-,-,-,-,-,-
Pesawaran,3447,-,175,549,1213,11315,-,85,-,-,-,-,17261,591,-,-,-,-,-,-,-,-
Pringsewu,2171,-,322,146,1456,3490,-,96,-,-,-,-,4941,1149,-,-,-,-,-,-,-,-
Mesuji,83,-,-,-,27853,1272,-,16,-,-,-,-,167,21844,-,-,-,-,-,-,-,-
Tulang Bawang Barat,8,-,-,-,36048,318,192,5,-,-,-,-,55,4375,-,-,-,-,-,-,-,-
Pesisir Barat,6756,-,3483,2362,681,7188,-,12,-,-,-,-,1176,7196,-,-,-,-,-,-,-,-
Bandar Lampung,183,-,12,50,87,402,-,6,-,-,-,-,542,63,-,-,-,-,-,-,-,-
Metro,2,-,-,1,8,72,-,17,-,-,-,-,77,3,-,-,-,-,-,-,-,-
Provinsi Lampung,157629,-,46193,7795,202539,96721,12340,818,-,-,-,-,72063,103026,-,-,-,-,-,-,-,-
