Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
Lampung Barat,52664,-,3627,67,19,629,-,18,-,-,-,-,693,49,-,-,-,-,-,-,-,-
Tanggamus,42667,-,2157,301,1127,14839,-,84,-,-,-,-,9770,37,-,-,-,-,-,-,-,-
Lampung Selatan,479,-,46,257,15195,28507,-,20,-,-,-,-,12743,40197,-,-,-,-,-,-,-,-
Lampung Timur,310,-,1958,11,5389,15084,-,500,-,-,-,-,5138,8659,-,-,-,-,-,-,-,-
Lampung Tengah,288,-,97,1,4956,6429,-,36,-,-,-,-,2975,109725,-,-,-,-,-,-,-,-
Lampung Utara,10365,-,3675,13,17658,790,-,49,-,-,-,-,218,8772,-,-,-,-,-,-,-,-
Way Kanan,9226,-,1317,39,35532,3532,-,4,-,-,-,-,842,27507,-,-,-,-,-,-,-,-
Tulang Bawang,42,-,-,-,13639,602,-,6,-,-,-,-,119,44793,-,-,-,-,-,-,-,-
Pesawaran,1281,-,101,164,5804,3912,-,60,-,-,-,-,18902,2325,-,-,-,-,-,-,-,-
Pringsewu,938,-,113,241,201,2702,-,102,-,-,-,-,3269,1566,-,-,-,-,-,-,-,-
Mesuji,43,-,-,-,6478,69,-,4,-,-,-,-,70,128258,-,-,-,-,-,-,-,-
Tulang Bawang Barat,65,-,-,-,29619,159,-,2,-,-,-,-,27,6238,-,-,-,-,-,-,-,-
Pesisir Barat,4474,-,1755,263,24,7309,-,1,-,-,-,-,919,20282,-,-,-,-,-,-,-,-
Bandar Lampung,231,-,8,24,98,585,-,10,-,-,-,-,530,129,-,-,-,-,-,-,-,-
Metro,1,-,-,-,3,59,-,18,-,-,-,-,57,2,-,-,-,-,-,-,-,-
Provinsi Lampung,128074,-,14854,1381,135742,85207,-,914,-,-,-,-,56272,398539,-,-,-,-,-,-,-,-
