Jenis Tanaman&lt;br/&gt;Kind of Plant&lt;br/&gt;,Luas Areal Tanaman Perkebunan Rakyat (ribu hektar) (Ribu Ha)
Karet/Rubber,196.3
Kelapa/Coconut,90.4
Kelapa sawit/Ori palm,109.2
Kopi/Coffee,156.5
Kakao/Cocoa,78.6
Teh/Tea,
Jambu mete/Cashew nut,0.1
Pala/Nutmeg,2.3
Lada/Pepper,45.6
Tebu/Sugar cane,28.8
Tembakai/Tobacco,0.6
Nilam/Patchouli,0
