Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
Lampung Barat,52543,3,3093,56,19,271,-,22,2,451,-,10,802,71,65,-,17,-,11,-,19,-
Tanggamus,30671,-,1765,178,25,16637,-,50,5,21,25,33,6371,-,39,-,19,-,-,27,29,-
Lampung Selatan,923,-,89,141,1650,31451,-,35,20,141,1,732,3265,6671,21,1,11,103,-,1,32,2
Lampung Timur,492,-,2310,9,1149,19156,-,95,-,1,39,-,5561,3470,8,-,-,23,-,12,21,197
Lampung Tengah,778,-,218,2,1167,12209,22341,15,-,-,45,-,3167,29180,7,7,-,-,8,-,18,-
Lampung Utara,12230,-,10276,102,9801,1897,24980,56,-,4,38,-,1404,16124,29,-,7,21,12,-,23,3
Way Kanan,17410,-,3410,75,15873,4120,25122,22,-,-,31,123,782,13012,4,-,-,-,-,-,-,-
Tulang Bawang,63,-,-,-,9065,1017,2681,-,-,-,-,-,132,21509,-,-,-,-,-,-,-,-
Pesawaran,3542,13,120,71,276,11009,-,16,24,8,3,371,3990,1561,6,-,28,49,-,17,7,24
Pringsewu,7919,-,571,2,55,3761,-,81,-,1,-,-,1092,754,6,4,-,-,-,-,2,2
Mesuji,84,-,-,-,7124,780,-,-,-,-,2,-,156,59105,-,-,-,-,-,-,-,-
Tulang Bawang Barat,35,-,-,-,5812,1108,-,1,-,-,-,7,86,12150,-,-,-,-,-,-,-,-
Pesisir Barat,4711,-,1561,254,19,4520,-,-,1,75,-,-,919,8791,18,-,6,-,-,-,32,-
Bandar Lampung,99,-,5,7,15,175,-,-,11,2,3,-,286,24,13,-,3,-,-,2,5,-
Metro,1,-,-,-,-,55,-,5,-,-,-,25,54,5,-,-,-,-,-,-,-,-
Provinsi Lampung,131501,16,23418,897,52050,108166,75124,398,63,704,187,1301,28067,172427,216,12,91,196,31,59,188,228
