Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
Lampung Barat,53610,-,7686,608,124,540,-,38,-,-,-,-,1232,2480,-,-,-,-,-,-,-,-
Tanggamus,43916,-,5843,1898,2198,16656,-,73,-,-,-,-,16711,30,-,-,-,-,-,-,-,-
Lampung Selatan,867,-,87,1404,12537,24592,-,30,-,-,-,-,15186,13652,-,-,-,-,-,-,-,-
Lampung Timur,745,-,5012,74,15510,17631,-,127,-,-,-,-,12220,7592,-,-,-,-,-,-,-,-
Lampung Tengah,522,-,117,5,11469,6898,-,58,-,-,-,-,5752,33267,-,-,-,-,-,-,-,-
Lampung Utara,23835,-,11415,218,37044,1190,-,81,-,-,-,-,1541,19186,-,-,-,-,-,-,-,-
Way Kanan,23163,-,11115,668,52632,7520,-,40,-,-,-,-,1554,28765,-,-,-,-,-,-,-,-
Tulang Bawang,114,-,-,-,32372,686,-,-,-,-,-,-,209,36672,-,-,-,-,-,-,-,-
Pesawaran,4479,-,414,522,5926,1373,-,75,-,-,-,-,14848,1587,-,-,-,-,-,-,-,-
Pringsewu,2543,-,372,160,1056,4118,-,79,-,-,-,-,5057,1337,-,-,-,-,-,-,-,-
Mesuji,110,-,-,-,27739,89,-,-,-,-,-,-,167,78161,-,-,-,-,-,-,-,-
Tulang Bawang Barat,171,-,-,-,39160,428,-,3,-,-,-,-,35,7643,-,-,-,-,-,-,-,-
Pesisir Barat,6935,-,3595,2289,623,6925,-,-,-,-,-,-,1330,6582,-,-,-,-,-,-,-,-
Bandar Lampung,217,-,12,50,90,400,-,-,-,-,-,-,560,64,-,-,-,-,-,-,-,-
Metro,2,-,-,-,9,90,-,7,-,-,-,-,58,1,-,-,-,-,-,-,-,-
Provinsi Lampung,161253,-,45712,7944,238495,89140,-,611,-,-,-,-,76508,237021,-,-,-,-,-,-,-,-
