Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Lampung Barat,51482,-,3559,70,43,630,-,8,-,-,-,-,696,18,-,-,-,-,-,-,-,-
Tanggamus,31346,-,2372,385,222,15154,-,139,-,-,-,-,7772,38,-,-,-,-,-,-,-,-
Lampung Selatan,488,-,45,291,9739,33532,-,24,-,-,-,-,15910,17693,-,-,-,-,-,-,-,-
Lampung Timur,254,-,1634,11,5044,13367,-,520,-,-,-,-,2885,8037,-,-,-,-,-,-,-,-
Lampung Tengah,297,-,97,2,4930,5258,29360,25,-,-,-,-,2992,43553,-,-,-,-,-,-,-,-
Lampung Utara,8721,-,3772,17,18333,555,12871,11,-,-,-,-,276,4590,-,-,-,-,-,-,-,-
Way Kanan,8711,-,1872,47,25467,3200,24871,20,-,-,-,-,641,15330,-,-,-,-,-,-,-,-
Tulang Bawang,35,-,-,-,28860,635,-,8,-,-,-,-,119,44168,-,-,-,-,-,-,-,-
Pesawaran,1208,-,75,81,845,7250,-,78,-,-,-,-,10448,874,-,-,-,-,-,-,-,-
Pringsewu,837,-,148,15,493,3321,-,75,-,-,-,-,3367,1742,-,-,-,-,-,-,-,-
Mesuji,26,-,-,-,30505,1466,-,15,-,-,-,-,112,36679,-,-,-,-,-,-,-,-
Tulang Bawang Barat,6,-,-,-,25015,154,846,2,-,-,-,-,20,5010,-,-,-,-,-,-,-,-
Pesisir Barat,3540,-,1482,391,114,7350,-,9,-,-,-,-,667,16431,-,-,-,-,-,-,-,-
Bandar Lampung,231,-,8,24,110,578,-,8,-,-,-,-,542,159,-,-,-,-,-,-,-,-
Metro,1,-,-,-,3,61,-,15,-,-,-,-,43,2,-,-,-,-,-,-,-,-
Provinsi Lampung,107183,-,15064,1334,149723,92511,67948,960,-,-,-,-,46490,194324,-,-,-,-,-,-,-,-
