Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
Lampung Barat,-,-,-,-,107,511,-,10,-,-,-,-,-,35,-,-,-,-,-,-,-,-
Tanggamus,-,-,-,-,592,-,-,95,-,-,-,-,-,30,-,-,-,-,-,-,-,-
Lampung Selatan,717,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lampung Timur,515,-,-,-,-,-,-,346,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lampung Tengah,525,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lampung Utara,-,-,-,-,-,818,-,7,-,-,-,-,864,-,-,-,-,-,-,-,-,-
Way Kanan,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tulang Bawang,97,-,-,-,-,703,-,4,-,-,-,-,206,-,-,-,-,-,-,-,-,-
Pesawaran,-,-,-,-,-,-,-,85,-,-,-,-,-,792,-,-,-,-,-,-,-,-
Pringsewu,-,-,-,-,960,-,-,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mesuji,35,-,-,-,-,-,-,28,-,-,-,-,88,-,-,-,-,-,-,-,-,-
Tulang Bawang Barat,8,-,-,-,-,348,253,10,-,-,-,-,17,-,-,-,-,-,-,-,-,-
Pesisir Barat,-,-,-,-,680,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bandar Lampung,79,-,-,-,70,364,-,5,-,-,-,-,207,53,-,-,-,-,-,-,-,-
Metro,2,-,-,-,3,63,-,2,-,-,-,-,60,-,-,-,-,-,-,-,-,-
Provinsi Lampung,1978,-,-,-,2412,2807,253,802,-,-,-,-,1442,910,-,-,-,-,-,-,-,-
