Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
Lampung Barat,56054,-,-,-,37,459,-,7,-,-,-,-,1094,23,-,-,-,-,-,-,-,-
Tanggamus,36908,-,-,-,119,16476,-,26,-,-,-,-,7167,15,-,-,-,-,-,-,-,-
Lampung Selatan,427,-,-,-,6228,20742,-,5,-,-,-,-,8676,9918,-,-,-,-,-,-,-,-
Lampung Timur,240,-,-,-,6403,11274,-,150,-,-,-,-,3235,6923,-,-,-,-,-,-,-,-
Lampung Tengah,307,-,-,-,4975,6274,69109,19,-,-,-,-,3029,43148,-,-,-,-,-,-,-,-
Lampung Utara,10120,-,-,-,19695,427,9428,7,-,-,-,-,275,4713,-,-,-,-,-,-,-,-
Way Kanan,8664,-,-,-,52650,2927,104031,24,-,-,-,-,554,27622,-,-,-,-,-,-,-,-
Tulang Bawang,21,-,-,-,34100,647,1438,2,-,-,-,-,139,47140,-,-,-,-,-,-,-,-
Pesawaran,1282,-,-,-,1058,6640,-,81,-,-,-,-,26192,643,-,-,-,-,-,-,-,-
Pringsewu,692,-,-,-,489,3210,-,87,-,-,-,-,2910,938,-,-,-,-,-,-,-,-
Mesuji,17,-,-,-,41378,1861,-,4,-,-,-,-,29,37151,-,-,-,-,-,-,-,-
Tulang Bawang Barat,4,-,-,-,24910,298,-,0,-,-,-,-,7,4024,-,-,-,-,-,-,-,-
Pesisir Barat,3372,-,-,-,301,6666,-,4,-,-,-,-,493,19900,-,-,-,-,-,-,-,-
Bandar Lampung,30,-,-,-,51,370,-,4,-,-,-,-,168,58,-,-,-,-,-,-,-,-
Metro,1,-,-,-,1,47,-,1,-,-,-,-,23,-,-,-,-,-,-,-,-,-
Provinsi Lampung,118139,-,-,-,192395,78319,184006,421,-,-,-,-,53991,202216,-,-,-,-,-,-,-,-
