Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
Lampung Barat,52648,-,3644,61,14,634,-,27,-,-,-,-,739,6333,-,-,-,-,-,-,-,-
Tanggamus,27581,-,2154,300,604,7610,-,166,-,-,-,-,8267,36,-,-,-,-,-,-,-,-
Lampung Selatan,469,-,47,213,9341,32372,-,18,-,-,-,-,14622,35331,-,-,-,-,-,-,-,-
Lampung Timur,297,-,2199,11,5516,13982,-,158,-,-,-,-,7269,8897,-,-,-,-,-,-,-,-
Lampung Tengah,279,-,96,1,4896,6338,-,89,-,-,-,-,3569,90589,-,-,-,-,-,-,-,-
Lampung Utara,11021,-,3522,13,15612,546,-,53,-,-,-,-,674,19757,-,-,-,-,-,-,-,-
Way Kanan,9126,-,1388,51,34119,3331,-,19,-,-,-,-,841,41617,-,-,-,-,-,-,-,-
Tulang Bawang,56,-,-,-,25568,668,-,-,-,-,-,-,134,95548,-,-,-,-,-,-,-,-
Pesawaran,1603,-,88,59,4509,9881,-,111,-,-,-,-,9364,3172,-,-,-,-,-,-,-,-
Pringsewu,1044,-,122,27,196,2721,-,150,-,-,-,-,3330,1562,-,-,-,-,-,-,-,-
Mesuji,67,-,-,-,30567,107,-,-,-,-,-,-,125,218238,-,-,-,-,-,-,-,-
Tulang Bawang Barat,41,-,-,-,33313,63,-,3,-,-,-,-,21,10732,-,-,-,-,-,-,-,-
Pesisir Barat,4474,-,1755,263,24,5641,-,-,-,-,-,-,919,14379,-,-,-,-,-,-,-,-
Bandar Lampung,257,-,8,20,78,580,-,-,-,-,-,-,520,48,-,-,-,-,-,-,-,-
Metro,1,-,-,-,5,63,-,8,-,-,-,-,67,3,-,-,-,-,-,-,-,-
Provinsi Lampung,108964,-,15023,1019,164362,84537,-,802,-,-,-,-,50461,546242,-,-,-,-,-,-,-,-
