Jenis Tanaman&lt;br/&gt;Kind of Plant&lt;br/&gt;,Luas Areal Tanaman Perkebunan Rakyat (ribu hektar) (Ribu Ha)
Karet/Rubber,196.9
Kelapa/Coconut,90.8
Kelapa sawit/Ori palm,109.3
Kopi/Coffee,156.5
Kakao/Cocoa,78.7
Teh/Tea,
Jambu mete/Cashew nut,0.1
Pala/Nutmeg,2.2
Lada/Pepper,45.8
Tebu/Sugar cane,25.2
Tembakai/Tobacco,0.8
Nilam/Patchouli,0.1
