Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
Lampung Barat,52572,-,-,-,34,613,-,2,-,-,-,-,1084,14,-,-,-,-,-,-,-,-
Tanggamus,33482,-,-,-,246,16314,-,135,-,-,-,-,6620,41,-,-,-,-,-,-,-,-
Lampung Selatan,430,-,-,-,8085,24760,-,12,-,-,-,-,9529,12525,-,-,-,-,-,-,-,-
Lampung Timur,240,-,-,-,6704,12143,-,519,-,-,-,-,2870,7475,-,-,-,-,-,-,-,-
Lampung Tengah,299,-,-,-,4931,6258,28523,25,-,-,-,-,2992,43553,-,-,-,-,-,-,-,-
Lampung Utara,8725,-,-,-,18333,450,12665,18,-,-,-,-,270,4615,-,-,-,-,-,-,-,-
Way Kanan,8722,-,-,-,25580,2920,63422,22,-,-,-,-,642,15574,-,-,-,-,-,-,-,-
Tulang Bawang,35,-,-,-,28920,663,-,12,-,-,-,-,119,44332,-,-,-,-,-,-,-,-
Pesawaran,1458,-,-,-,783,8332,-,84,-,-,-,-,30059,770,-,-,-,-,-,-,-,-
Pringsewu,705,-,-,-,460,3408,-,53,-,-,-,-,2693,834,-,-,-,-,-,-,-,-
Mesuji,43,-,-,-,37491,1458,-,24,-,-,-,-,109,40297,-,-,-,-,-,-,-,-
Tulang Bawang Barat,6,-,-,-,24328,282,1290,13,-,-,-,-,6,4347,-,-,-,-,-,-,-,-
Pesisir Barat,3622,-,-,-,132,7683,-,9,-,-,-,-,696,5811,-,-,-,-,-,-,-,-
Bandar Lampung,230,-,-,-,90,564,-,11,-,-,-,-,529,150,-,-,-,-,-,-,-,-
Metro,1,-,-,-,3,52,-,11,-,-,-,-,33,1,-,-,-,-,-,-,-,-
Provinsi Lampung,110570,-,-,-,156120,85918,105900,950,-,-,-,-,58251,190339,-,-,-,-,-,-,-,-
