Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
Lampung Barat,65010,5,7633,501,1115,547,-,33,17,929,-,14,1316,32,308,-,77,-,55,-,106,-
Tanggamus,43897,-,6230,1439,1333,16637,-,52,48,58,154,130,14875,12,536,-,306,4,-,217,294,2
Lampung Selatan,1239,-,89,1105,8825,29928,-,46,85,-,8,1104,7006,6233,88,4,55,650,-,7,132,10
Lampung Timur,966,-,6964,69,9337,21887,-,98,-,8,251,-,13111,4336,37,-,-,124,-,387,113,423
Lampung Tengah,1549,-,358,10,12849,12923,3170,16,-,-,413,-,5147,13548,45,50,-,-,37,-,68,-
Lampung Utara,18482,-,22561,623,24182,2617,4441,120,3,41,278,-,3365,9275,109,-,17,30,71,-,140,17
Way Kanan,22563,-,11115,788,32168,6085,3900,37,-,-,135,320,1405,14245,34,-,-,-,-,-,-,-
Tulang Bawang,133,-,-,-,20173,1503,491,-,-,-,-,-,197,14207,-,-,-,-,-,-,-,-
Pesawaran,4649,42,427,579,1423,12820,-,26,176,49,21,592,13667,628,77,-,120,264,-,45,72,197
Pringsewu,7630,-,1495,28,987,4681,-,97,-,8,-,-,5336,1520,35,15,-,-,-,3,22,22
Mesuji,249,-,-,-,22220,1209,-,-,-,-,19,-,437,21616,-,-,-,-,-,-,-,-
Tulang Bawang Barat,170,17,-,-,23656,1398,-,2,-,-,-,20,287,5703,-,-,-,-,-,-,-,-
Pesisir Barat,6934,-,3595,2287,623,6914,-,-,3,170,-,-,1327,6459,103,-,27,-,-,-,193,-
Bandar Lampung,217,85,13,53,97,416,-,-,75,13,17,-,586,64,46,-,16,-,-,9,23,-
Metro,2,-,-,-,11,90,-,6,-,-,1,24,90,6,-,-,-,-,-,-,-,-
Provinsi Lampung,173690,149,60480,7482,158999,119655,12002,533,407,1276,1297,2204,68152,97884,1418,69,618,1072,163,668,1163,671
