Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Lampung Barat,54101,-,-,-,107,511,-,10,-,-,-,-,1608,35,-,-,-,-,-,-,-,-
Tanggamus,41508,-,-,-,592,13747,-,68,-,-,-,-,13674,30,-,-,-,-,-,-,-,-
Lampung Selatan,730,-,-,-,7616,22264,-,10,-,-,-,-,11393,7274,-,-,-,-,-,-,-,-
Lampung Timur,515,-,-,-,15358,17861,-,346,-,-,-,-,11033,7512,-,-,-,-,-,-,-,-
Lampung Tengah,523,-,-,-,11540,7002,8975,15,-,-,-,-,5264,19179,-,-,-,-,-,-,-,-
Lampung Utara,25674,-,-,-,35291,816,2126,7,-,-,-,-,864,8023,-,-,-,-,-,-,-,-
Way Kanan,21650,-,-,-,31477,3873,13820,38,-,-,-,-,1235,13772,-,-,-,-,-,-,-,-
Tulang Bawang,76,-,-,-,32427,638,2754,5,-,-,-,-,190,18922,-,-,-,-,-,-,-,-
Pesawaran,3452,-,-,-,1214,11238,-,85,-,-,-,-,27357,792,-,-,-,-,-,-,-,-
Pringsewu,1379,-,-,-,960,3487,-,108,-,-,-,-,4585,1136,-,-,-,-,-,-,-,-
Mesuji,35,-,-,-,26839,1259,-,7,-,-,-,-,88,22059,-,-,-,-,-,-,-,-
Tulang Bawang Barat,9,-,-,-,32674,329,414,4,-,-,-,-,15,4005,-,-,-,-,-,-,-,-
Pesisir Barat,6662,-,-,-,680,7363,-,13,-,-,-,-,1129,7104,-,-,-,-,-,-,-,-
Bandar Lampung,79,-,-,-,38,289,-,5,-,-,-,-,207,33,-,-,-,-,-,-,-,-
Metro,1,-,-,-,3,63,-,2,-,-,-,-,59,-,-,-,-,-,-,-,-,-
Provinsi Lampung,156395,-,-,-,196816,90740,28088,722,-,-,-,-,78701,109876,-,-,-,-,-,-,-,-
