feature,mean_abs_shap
temp_mean_annual,82.35542461718337
temp_max_dry,45.066005911361685
precip_wet,20.194949066348194
et0_annual,16.79090022525129
elevation_m,13.736093676076559
precip_transition_1,8.940750476618723
ndvi_max,8.154978970891355
precip_wet_lag1,6.99544182711172
evi_mean_annual,3.7199080194839276
ndvi_min,2.4316620606037724
ndvi_anomaly,1.8894956591637417
solar_rad_annual,1.814471490224117
humidity_mean,1.2490364055267302
ndvi_mean_annual,1.1776477495426665
evi_min,0.7156868392711291
